Unnamed: 0,created_at,favorite_count,full_text,id,retweet_count,user.id,user.name
104,2020-11-10,4,biden go trump inauguration say sister,1326168921926463489,4,16042794,Guardian US
105,2020-11-10,3,future latino voter expert weigh chuck rocha cristina beltr n danielle pilar clealand arlene d vila sonja diaz,1326167554679824391,2,16042794,Guardian US
106,2020-11-10,2,usa v europe balance power woman soccer shifting,1326163160974454788,2,16042794,Guardian US
107,2020-11-10,10,johnson biden win tweet contain hide trump congratulation,1326152904877682688,4,16042794,Guardian US
108,2020-11-10,14,joe biden avoid obama mistake future party david sirota,1326145097549930497,7,16042794,Guardian US
109,2020-11-10,3,step pace child deportation guatemala cite pandemic emergency,1326140998897053697,5,16042794,Guardian US
110,2020-11-10,2,usa plan educate anti racism protest wales game say adams,1326136581074415617,1,16042794,Guardian US
111,2020-11-10,10,reproductive health ngos pin hope biden reverse global gag rule,1326132722956464129,3,16042794,Guardian US
112,2020-11-10,11,black voter drive joe biden victory offer country reboot cliff albright,1326129268280209408,4,16042794,Guardian US
113,2020-11-10,1,trial begin man admit kill toronto van attack,1326125813725597698,1,16042794,Guardian US
114,2020-11-10,6,brace donald trump bad bhaskar sunkara,1326122216128450560,6,16042794,Guardian US
115,2020-11-10,6,misunderstood state california liberal think,1326118337210970112,1,16042794,Guardian US
116,2020-11-10,7,trump poise leave legacy chaos minute foreign policy move analysis,1326102898720317440,5,16042794,Guardian US
117,2020-11-10,5,devastate atlantic hurricane season break record,1326101119467184128,8,16042794,Guardian US
118,2020-11-10,2,streaming gem watch selling,1326090907926618112,0,16042794,Guardian US
119,2020-11-10,4,fowl law man sentence cook chicken yellowstone hot spring,1326087298245677056,1,16042794,Guardian US
120,2020-11-10,2,megan rapinoe manchester united disgraceful woman football delay,1326082936739868672,2,16042794,Guardian US
121,2020-11-10,6,election biden speak trump supreme court threaten obamacare live update,1326079554759364615,4,16042794,Guardian US
122,2020-11-10,7,republican control senate kneecap climate action,1326076269080039429,7,16042794,Guardian US
123,2020-11-10,7,soul nation joe biden faith shape presidency,1326072757717708800,2,16042794,Guardian US
124,2020-11-10,4,task joe biden face racial justice restore faith science,1326072755943510017,3,16042794,Guardian US
125,2020-11-10,3,cash cow carbon credit farmer plant tree,1326068448636645376,3,16042794,Guardian US
126,2020-11-10,2,fatman mel gibson santa action comedy need right,1326055883533586433,2,16042794,Guardian US
127,2020-11-10,6,cam newton spark late new england patriots rally past winless new york jet,1326052129782591488,1,16042794,Guardian US
128,2020-11-10,6,forget unity election deliver revenge representation william davy,1326046386555645953,2,16042794,Guardian US
129,2020-11-10,56,whoa fox news cut kayleigh mcenany illegal vote spiel,1326012530796470277,9,16042794,Guardian US
130,2020-11-10,6,barr tell prosecutor investigate vote irregularity despite lack evidence,1325985073645154307,2,16042794,Guardian US
131,2020-11-10,2,bucks sterling brown agree settlement stungun arrest,1325965775715397633,2,16042794,Guardian US
132,2020-11-10,3,coronavirus live news warn covid tired uk scientist say vaccine feel like watershed moment,1325952549858504711,0,16042794,Guardian US
133,2020-11-09,1,progressive force left win work letter,1325935291992068100,1,16042794,Guardian US
134,2020-11-09,2,elliott erwitt photography pretty simple react,1325929299531141122,1,16042794,Guardian US
135,2020-11-09,13,donald trump white house watch party super spreader event,1325927599915282434,3,16042794,Guardian US
136,2020-11-09,28,john oliver biden victory genuinely hard overstate level relief,1325924125324570624,4,16042794,Guardian US
137,2020-11-09,6,fight go exile president evo morale return bolivia,1325918059127844867,4,16042794,Guardian US
138,2020-11-09,1,global market winner loser covid vaccine hope send share surge,1325914343972679683,1,16042794,Guardian US
139,2020-11-09,2,pm channel inner john wayne vaccine metaphor meltdown,1325908661017976833,4,16042794,Guardian US
140,2020-11-09,0,augusta slow master week finally arrive seven month late,1325905035293757441,0,16042794,Guardian US
141,2020-11-09,3,streetwear brand supreme sell timberland owner vf,1325901171027021831,0,16042794,Guardian US
142,2020-11-09,12,local arkansas police chief quit call violence democrats,1325896371011022848,12,16042794,Guardian US
143,2020-11-09,3,augusta national names lee elder honorary starter master,1325895872618647554,1,16042794,Guardian US
144,2020-11-09,12,joe biden vow ispare effort tackle covid see record case,1325892115356901377,0,16042794,Guardian US
145,2020-11-09,6,trump intention offer concession campaign insist,1325891325410074630,3,16042794,Guardian US
146,2020-11-09,7,guardian view johnson biden problem go away editorial,1325890709619171328,3,16042794,Guardian US
147,2020-11-09,5,kim kardashian public health activist star,1325887164870238209,4,16042794,Guardian US
148,2020-11-09,6,pfizer biontech vaccine announcement cause cautious celebration,1325883693769109507,2,16042794,Guardian US
149,2020-11-09,8,nevada county predictor election outcome,1325880016907997184,4,16042794,Guardian US
150,2020-11-09,4,dead russian military helicopter shoot armenia,1325876104427696128,1,16042794,Guardian US
151,2020-11-09,17,loser voter revel target trump favourite taunt,1325871733581209605,6,16042794,Guardian US
152,2020-11-09,3,ryan reynolds rob mcelhenney hope wrexham global force,1325868244469571584,2,16042794,Guardian US
153,2020-11-09,10,mark esper fire pentagon chief contradict trump,1325865014037794816,5,16042794,Guardian US
154,2020-11-09,14,joe biden face dark winter despite promise coronavirus vaccine news video,1325862239027548163,3,16042794,Guardian US
155,2020-11-09,1,sergio garc withdraw master test positive coronavirus,1325859975902744576,0,16042794,Guardian US
156,2020-11-09,0,rt jamile beef video keep oliverlaughland road day prevent get beer,1325856768266825734,1,16042794,Guardian US
157,2020-11-09,10,coronavirus case near ben carson reportedly test positive,1325853776213897217,3,16042794,Guardian US
158,2020-11-09,21,stacey abrams georgia political heroine romance author,1325852668347224064,5,16042794,Guardian US
159,2020-11-09,8,joe biden say istill face dark winter unveil covid taskforce live,1325848647934873600,3,16042794,Guardian US
160,2020-11-09,8,biden far perfect moment savour victory suzanne moore,1325846569304854528,2,16042794,Guardian US
161,2020-11-09,3,jo help joe white house brief letter,1325845513271455745,1,16042794,Guardian US
162,2020-11-09,28,america rake season total landscape cash trump fiasco,1325841777169936386,10,16042794,Guardian US
163,2020-11-09,3,joe biden good britain time washington teach kim darroch,1325836245201788928,2,16042794,Guardian US
164,2020-11-09,6,coronavirus case near fear death weather cool,1325825167159939072,6,16042794,Guardian US
165,2020-11-09,13,alex trebek final jeopardy episode air christmas day,1325821495378112514,7,16042794,Guardian US
166,2020-11-09,3,global stock market surge pfizer covid vaccine news,1325817962507472899,2,16042794,Guardian US
167,2020-11-09,15,joe biden love seamus heaney evidence soul trust jonathan jones,1325814388054511616,4,16042794,Guardian US
168,2020-11-09,0,rt oliverlaughland final episode washington morning follow community south florida live,1325810838872190977,18,16042794,Guardian US
169,2020-11-09,19,mistake biden success important win world cas mudde,1325807251144253442,7,16042794,Guardian US
170,2020-11-09,5,trump vote finally feel home america moustafa bayoumi,1325801717192069121,3,16042794,Guardian US
171,2020-11-09,3,trump unique republicans struggle find like jan werner mueller,1325800906080792583,4,16042794,Guardian US
172,2020-11-09,6,joe biden deal donald trump obstruction transition,1325794328715927563,4,16042794,Guardian US
173,2020-11-09,2,tropical storm eta bring heavy rain flood florida key,1325787138374455303,1,16042794,Guardian US
174,2020-11-09,0,josh allen surge buffalo bill stir echo,1325759517129383936,2,16042794,Guardian US
175,2020-11-09,5,victory prelude happen rebecca solnit,1325757781585108994,7,16042794,Guardian US
176,2020-11-09,4,send asylum seeker home cameroon despite death plane warning,1325755845930594306,7,16042794,Guardian US
177,2020-11-09,9,donald trump s refusal concede spark transition sabotage fear,1325755140540952576,11,16042794,Guardian US
178,2020-11-09,9,republican governor win montana raise fear beloved wilderness,1325752439157501954,4,16042794,Guardian US
179,2020-11-09,3,joe biden beat donald trump fight america s soul video,1325748979368415232,2,16042794,Guardian US
180,2020-11-09,2,arsenal vivianne miedema year ago know goat mean,1325747054296096768,0,16042794,Guardian US
181,2020-11-09,22,goodbye trump hello biden america wave goodbye shocking shameful era,1325740765277020167,3,16042794,Guardian US
182,2020-11-09,17,trump presidency number,1325740763397894147,7,16042794,Guardian US
183,2020-11-09,4,trump accept defeat leave white house yes expert,1325740761384706049,3,16042794,Guardian US
184,2020-11-09,23,donald trump want fight athlete doom,1325740512108826624,10,16042794,Guardian US
185,2020-11-09,5,election biden announce covid task force trump protest defeat live update,1325735274635272192,1,16042794,Guardian US
186,2020-11-09,5,passenger travel virgin levitate hyperloop pod system,1325734537482137600,3,16042794,Guardian US
187,2020-11-09,0,premier league talk point weekend action,1325718783751827459,0,16042794,Guardian US
188,2020-11-09,6,new restriction announce state see covid surge,1325715327926341639,8,16042794,Guardian US
189,2020-11-09,18,speech perfect china celebrate biden win amid hope warm tie,1325712085934804992,6,16042794,Guardian US
190,2020-11-09,11,woman colour vice president writer kamala harris mean,1325710805027975169,3,16042794,Guardian US
191,2020-11-09,41,ivanka trump lose white house status job,1325710803232808965,8,16042794,Guardian US
192,2020-11-09,4,mitch mcconnell strangle joe biden legislative program birth,1325710801370574851,3,16042794,Guardian US
193,2020-11-09,0,teacher review intriguing incomplete drama groom,1325708478124580864,1,16042794,Guardian US
194,2020-11-09,46,ruff life biden win white house dog chief,1325701008064909312,5,16042794,Guardian US
195,2020-11-09,7,reveal covid recovery plan threaten global climate hope,1325698971558440961,3,16042794,Guardian US
196,2020-11-09,86,georgia senate run off finally hand stacey abram victory,1325695000957620224,21,16042794,Guardian US
197,2020-11-09,22,surge youth voter turnout help propel biden victory,1325694999133085697,7,16042794,Guardian US
198,2020-11-09,20,joe biden coronavirus task force meet public schedule release,1325689401603665923,6,16042794,Guardian US
199,2020-11-09,21,biden win boost global stock market japanese share soar year high,1325688411466981376,6,16042794,Guardian US
200,2020-11-09,73,trump voter fraud hotline inundate prank call,1325686586160328708,26,16042794,Guardian US
201,2020-11-09,22,pacific nations herald biden presidency amid hope action climate emergency,1325655873625141248,5,16042794,Guardian US
202,2020-11-09,11,trump derangement syndrome good great nick bhasin,1325624679768481792,5,16042794,Guardian US
203,2020-11-09,2,philadelphia union quell new england claim supporter shield seed,1325612500457549825,0,16042794,Guardian US
204,2020-11-08,3,tropical storm eta aim florida hit hurricane force,1325586478068543488,4,16042794,Guardian US
205,2020-11-08,1,coronavirus live news near case global infection pass,1325586232445980672,1,16042794,Guardian US
206,2020-11-08,0,daniil medvedev send world tour warn paris win zverev,1325582420683476994,1,16042794,Guardian US
207,2020-11-08,7,bones hillman midnight oil bassist beautiful voice die age,1325578381459656704,6,16042794,Guardian US
208,2020-11-08,3,klopp blast liverpool schedule alexander arnold injury man city,1325574138002616320,0,16042794,Guardian US
209,2020-11-08,0,ollie watkins punish woeful arsenal aston villa run riot emirates,1325567327358898183,0,16042794,Guardian US
210,2020-11-08,2,nfl round lamar jackson shine baltimore raven record setting win,1325563585070837760,0,16042794,Guardian US
211,2020-11-08,50,joe biden throw pitch washington national open day,1325559854178721798,5,16042794,Guardian US
212,2020-11-08,10,global coronavirus case pass worst affected country,1325555614941130758,9,16042794,Guardian US
213,2020-11-08,2,nick kyrgios open depression spiral control,1325549574296055808,1,16042794,Guardian US
214,2020-11-08,4,small earthquake new england damage,1325546131351285768,1,16042794,Guardian US
215,2020-11-08,1,european roundup juventus inter hold mkhitaryan fire hat trick,1325542512644288514,0,16042794,Guardian US
